config_num,unroll_qkv,unroll_scale,unroll_output,q_tile_size,kv_tile_size,attn_threads,success,compile_time,execution_time,throughput
1,16,16,16,8,8,128,True,0,2.8325,386.48
2,16,16,16,8,16,128,True,0,2.9524,370.79
3,16,16,16,8,32,128,True,0,3.6729,298.05
4,16,16,16,8,64,128,True,0,4.2394,258.23
5,16,16,16,8,128,128,True,0,1.0128,1080.89
6,16,16,16,8,256,128,True,0,1.0129,1080.8
7,16,16,16,8,512,128,True,0,1.0148,1078.71
8,16,16,16,16,8,128,True,0,2.5462,429.94
9,16,16,16,16,16,128,True,0,1.8857,580.53
10,16,16,16,16,32,128,True,0,1.7597,622.11
11,16,16,16,16,64,128,True,0,1.693,646.61
12,16,16,16,16,128,128,True,0,1.0151,1078.43
13,16,16,16,16,256,128,True,0,1.0135,1080.09
14,16,16,16,16,512,128,True,0,1.0133,1080.34
15,16,16,16,32,8,128,True,0,3.0604,357.71
16,16,16,16,32,16,128,True,0,1.9609,558.26
17,16,16,16,32,32,128,True,0,1.7855,613.12
18,16,16,16,32,64,128,True,0,1.0133,1080.38
19,16,16,16,32,128,128,True,0,1.0137,1079.91
20,16,16,16,32,256,128,True,0,1.0151,1078.46
21,16,16,16,32,512,128,True,0,1.0145,1079.08
22,16,16,16,64,8,128,True,0,4.4844,244.11
23,16,16,16,64,16,128,True,0,2.2229,492.48
24,16,16,16,64,32,128,True,0,1.0134,1080.29
25,16,16,16,64,64,128,True,0,1.0127,1080.97
26,16,16,16,64,128,128,True,0,1.015,1078.59
27,16,16,16,64,256,128,True,0,1.0136,1080.02
28,16,16,16,64,512,128,True,0,1.0151,1078.43
29,16,16,16,128,8,128,True,0,1.0125,1081.23
30,16,16,16,128,16,128,True,0,1.0221,1071.09
31,16,16,16,128,32,128,True,0,1.0148,1078.77
32,16,16,16,128,64,128,True,0,1.0148,1078.77
33,16,16,16,128,128,128,True,0,1.0139,1079.72
34,16,16,16,128,256,128,True,0,1.0141,1079.54
35,16,16,16,128,512,128,True,0,1.0133,1080.37
36,16,16,16,256,8,128,True,0,1.0153,1078.2
37,16,16,16,256,16,128,True,0,1.0146,1078.95
38,16,16,16,256,32,128,True,0,1.0136,1080.03
39,16,16,16,256,64,128,True,0,1.0124,1081.29
40,16,16,16,256,128,128,True,0,1.0145,1079.06
41,16,16,16,256,256,128,True,0,1.0141,1079.53
42,16,16,16,256,512,128,True,0,1.0149,1078.67
43,16,16,16,512,8,128,True,0,1.0136,1079.99
44,16,16,16,512,16,128,True,0,1.0131,1080.53
45,16,16,16,512,32,128,True,0,1.0149,1078.63
46,16,16,16,512,64,128,True,0,1.0149,1078.61
47,16,16,16,512,128,128,True,0,1.0136,1080.04
48,16,16,16,512,256,128,True,0,1.0148,1078.76
49,16,16,16,512,512,128,True,0,1.0141,1079.53
