config_num,unroll_qkv,unroll_scale,unroll_output,q_tile_size,kv_tile_size,attn_threads,success,compile_time,execution_time,throughput
1,16,16,16,16,16,128,True,0,0.9751,572.1
2,16,16,16,16,32,128,True,0,0.9172,608.19
3,16,16,16,16,64,128,True,0,0.8923,625.18
4,16,16,16,16,128,128,True,0,0.5268,1058.88
5,16,16,16,16,256,128,True,0,0.5308,1050.85
6,16,16,16,16,512,128,True,0,0.533,1046.63
7,16,16,16,32,16,128,True,0,1.013,550.68
8,16,16,16,32,32,128,True,0,0.9274,601.53
9,16,16,16,32,64,128,True,0,0.5299,1052.81
10,16,16,16,32,128,128,True,0,0.5279,1056.8
11,16,16,16,32,256,128,True,0,0.5292,1054.14
12,16,16,16,32,512,128,True,0,0.5291,1054.33
13,16,16,16,64,16,128,True,0,1.1485,485.71
14,16,16,16,64,32,128,True,0,0.5288,1054.86
15,16,16,16,64,64,128,True,0,0.5274,1057.79
16,16,16,16,64,128,128,True,0,0.5295,1053.49
17,16,16,16,64,256,128,True,0,0.5282,1056.07
18,16,16,16,64,512,128,True,0,0.5304,1051.82
19,16,16,16,128,16,128,True,0,0.5286,1055.36
20,16,16,16,128,32,128,True,0,0.5302,1052.08
21,16,16,16,128,64,128,True,0,0.5294,1053.79
22,16,16,16,128,128,128,True,0,0.5288,1055.02
23,16,16,16,128,256,128,True,0,0.5274,1057.78
24,16,16,16,128,512,128,True,0,0.5277,1057.05
25,16,16,16,256,16,128,True,0,0.5295,1053.53
26,16,16,16,256,32,128,True,0,0.5307,1051.23
27,16,16,16,256,64,128,True,0,0.5278,1057.02
28,16,16,16,256,128,128,True,0,0.5294,1053.67
29,16,16,16,256,256,128,True,0,0.5294,1053.69
30,16,16,16,256,512,128,True,0,0.5279,1056.64
31,16,16,16,512,16,128,True,0,0.5308,1050.88
32,16,16,16,512,32,128,True,0,0.5305,1051.61
33,16,16,16,512,64,128,True,0,0.5316,1049.36
34,16,16,16,512,128,128,True,0,0.529,1054.6
35,16,16,16,512,256,128,True,0,0.5295,1053.61
36,16,16,16,512,512,128,True,0,0.5288,1054.92
