config_num,unroll_qkv,unroll_scale,unroll_output,q_tile_size,kv_tile_size,attn_threads,success,compile_time,execution_time,throughput
1,1,1,1,16,128,128,True,0,0.5284,1055.75
2,1,1,1,16,128,256,True,0,0.5281,1056.24
3,1,1,1,16,128,512,True,0,0.5294,1053.71
4,1,1,1,16,128,1024,True,0,0.5296,1053.4
5,2,2,2,16,128,128,True,0,0.5293,1053.95
6,2,2,2,16,128,256,True,0,0.5284,1055.62
7,2,2,2,16,128,512,True,0,0.5284,1055.82
8,2,2,2,16,128,1024,True,0,0.5282,1056.06
9,4,4,4,16,128,128,True,0,0.5295,1053.56
10,4,4,4,16,128,256,True,0,0.5276,1057.35
11,4,4,4,16,128,512,True,0,0.5273,1057.98
12,4,4,4,16,128,1024,True,0,0.5304,1051.8
13,8,8,8,16,128,128,True,0,0.5286,1055.23
14,8,8,8,16,128,256,True,0,0.5282,1056.14
15,8,8,8,16,128,512,True,0,0.5282,1056.12
16,8,8,8,16,128,1024,True,0,0.5289,1054.75
17,16,16,16,16,128,128,True,0,0.5267,1059.19
18,16,16,16,16,128,256,True,0,0.5297,1053.12
19,16,16,16,16,128,512,True,0,0.5306,1051.3
20,16,16,16,16,128,1024,True,0,0.5293,1053.93
